Data de Registro;Descrição;Nome do Projeto;Número do Documento;Tipo de Análise;id_estudo
10/11/2025;;JOAO ARLINDO PEREIRA RAIMUNDO;1001/25;MMGD;33
10/11/2025;;COOPERATIVA DE ENERGIA RENOVAVEL BR;1002/25;MMGD;34
10/11/2025;;CONSORCIO SINERGIA AMBIENTAL;1003/25;MMGD;35
12/11/2025;"PRO0290183-LIGAÇÃO NOVA MMGD - MT THV
 DEMANDA FORA PONTA 30KW-DEMANDA GD 1.332KW- Câmara/Cubículo-TRAFO 1.500KVA-
 CONTATO: JOSÉ MARIA 27 99505-9202
 AE MMGD: 45006132093
 VIABILIDADE: PLANEJAMENTO

ELABORAÇÃO DE CONTRATOS:
 PT CNT GD:1.332KW
 DEMANDA DE GD: 1.332KW
 DEMANDA DE CARGA: 30KW








Latitude: -20.919608°
Longitude: -41.220590°
Instalação Vizinha Não Localizada.
Telefone para Contato:
Complemento:";CONSORCIO SANTA LUCIA SOLAR;1013/25;MMGD;45
14/11/2025;"PRO0289796-LIGAÇÃO NOVA MMGD- MT THV DEMANDA FORA PONTA 0KW-DEMANDA GD 300KW-AÉREA-TRAFO 300KVA-
CONTATO: PATRICK NOÉ  (27)99252-8990
AE MMGD: 45006136317
VIABILIDADE: PLANEJAMENTO

ELABORAÇÃO DE CONTRATOS:
 PT CNT GD: 300KW
 DEMANDA DE GD: 300KW
 DEMANDA DE CARGA: 0KW
Leandro Nogueira 10/11/2025";JBA 03;1022/25;MMGD;54
14/11/2025;"13.11.2025 15:24:04 M. JUNQUEIRA LOUZADA FURLAN (10204875) Tel. 27 999..
VICENTHE ANDRE ANTONIO PAULO DE ANDRADE N B MORAES DA SILVA
CONSULTA : LN NOVA MMGD
CARGA: 30KW
GERAÇÃO:120KW
DATA PREVISTA:01/08/2026
LOCALIDADE: CONCEIÇÃO DA BARRA
COORDENADAS:X 419257, Y 7947142
CONTATO:ROGÉRIO NEVES (65)9276-4583
Informar dados de curto-circuito
PRO0290589";VICENTHE ANDRE ANTONIO PAULO DE ANDRADE N B MORAES DA SILVA;1023/25;MMGD;55
